Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
0,1,1,1,89008.8870308323,0.001283333333,
1,2,1,1,237167.6570993,0.003333333333,
2,2,2,2,11101.0640725948,0.0207,285.289210069557
3,2,3,2,16013.1228591125,0.03775,467.299672662716
4,3,1,1,205276.5048631,0.039783333333,
5,3,2,2,1698.25866531407,0.057116666667,124.087449162303
6,3,3,2,16467.5747659147,0.07415,489.315169742457
7,4,1,1,262746.2595747,0.076183333333,
8,4,2,2,11249.8679164595,0.093516666667,295.186610092663
9,4,3,2,15648.6577760396,0.110566666667,445.28653014744
10,5,1,1,256586.4353353,0.1126,
11,5,2,2,18443.4955068949,0.12995,285.289618612844
12,5,3,2,25861.8066043838,0.147,467.300005106962
13,6,1,1,256450.4121399,0.149033333333,
14,6,2,2,18918.6381469094,0.16635,124.086254772697
15,6,3,2,24291.3220115608,0.1834,489.311997833773
16,7,1,1,255962.3981214,0.185433333333,
17,7,2,2,12392.4597536693,0.202766666667,295.188146298521
18,7,3,2,19161.6919785909,0.219816666667,445.287171546769
19,8,1,1,259368.795583,0.22185,
20,8,2,2,20012.4262501884,0.239183333333,285.288845604167
21,8,3,2,30214.2237041021,0.256216666667,467.299669787708
22,9,1,1,253278.6547236,0.25825,
23,9,2,2,20992.0031393666,0.275583333333,124.08674121685
24,9,3,2,28121.1320564525,0.292616666667,489.312235325884
25,10,1,1,254501.2046449,0.29465,
26,10,2,2,12987.9544629473,0.312,295.186958475456
27,10,3,2,17209.4371968393,0.329033333333,511.325238697124
28,11,1,1,257989.6589197,0.331066666667,
29,11,2,2,21909.614439876,0.348416666667,285.289023679703
30,11,3,2,32360.4839182448,0.365466666667,467.300318250961
31,12,1,1,255934.8573087,0.3675,
32,12,2,2,22419.5886535399,0.384833333333,124.086196884741
33,12,3,2,31289.5669373943,0.401883333333,489.312402571355
34,13,1,1,337358.646001,0.403916666667,
35,13,2,2,21998.4021714278,0.421416666667,162.111987731318
36,13,3,2,16792.3319342339,0.43845,511.325695473761
37,14,1,1,417696.5700467,0.440483333333,
38,14,2,2,102891.9561141,0.45795,217.10741459756
39,14,3,2,74887.1541027128,0.474983333333,239.089161601052
40,15,1,1,566203.1434837,0.477016666667,
41,15,2,2,20103.4666700335,0.494483333333,173.080847891668
42,15,3,2,34659.0664842183,0.511533333333,455.188831449983
43,16,1,1,462252.216371,0.513566666667,
44,16,2,2,46935.6119949889,0.531033333333,470.202079348495
45,16,3,2,40407.4128890224,0.548083333333,475.15731332949
46,17,1,1,2164400.528531,0.550116666667,
47,17,2,2,378219.640595,0.567566666667,387.180905491912
48,17,3,2,385618.0824364,0.584616666667,432.238556987105
49,18,1,1,3092428.32705,0.586683333333,
50,18,2,2,136624.1651165,0.60405,409.162750734669
51,18,3,2,155874.5077152,0.621083333333,445.23406576352
52,19,1,1,789819.7171012,0.623116666667,
53,19,2,2,68036.1882295058,0.64045,225.196280710092
54,19,3,2,42914.4027277268,0.657483333333,425.13695013539
55,20,1,1,421458.2801767,0.659516666667,
56,20,2,2,29620.7782083862,0.676933333333,387.180429779812
57,20,3,2,28859.3536464125,0.693983333333,432.237318781759
58,21,1,1,373565.0848136,0.696016666667,
59,21,2,2,23848.6148692264,0.713416666667,285.289506255064
