Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
0,1,1,1,81093.1308782217,0.001283333333,
1,2,1,1,241698.7944612,0.003316666667,
2,2,2,2,10746.841521288,0.020683333333,285.289080978561
3,2,3,2,15695.5101523975,0.037716666667,467.300148023854
4,3,1,1,242690.9798528,0.03975,
5,3,2,2,17702.8000504184,0.0571,124.086644590741
6,3,3,2,15954.7580483257,0.07415,489.313721708653
7,4,1,1,249305.0565891,0.076183333333,
8,4,2,2,11092.7802871233,0.093533333333,295.188036292037
9,4,3,2,15748.2345818783,0.110566666667,445.287526447972
10,5,1,1,238397.8844217,0.1126,
11,5,2,2,17514.0066908894,0.129933333333,285.289919208053
12,5,3,2,24279.1101172161,0.146983333333,467.300408425572
13,6,1,1,250528.8064962,0.149016666667,
14,6,2,2,18412.1689252524,0.16635,124.087134549375
15,6,3,2,24067.0542628774,0.183383333333,489.31331981815
16,7,1,1,259319.0895185,0.185416666667,
17,7,2,2,12523.480118042,0.202783333333,295.187371692178
18,7,3,2,19465.0678335479,0.219833333333,445.288010357966
19,8,1,1,255442.8949274,0.221866666667,
20,8,2,2,19963.5791602931,0.2392,285.290166516479
21,8,3,2,29067.4332855457,0.25625,467.300134014509
22,9,1,1,260312.8124604,0.258283333333,
23,9,2,2,19827.7441351265,0.275633333333,124.086685220096
24,9,3,2,26474.6781698707,0.292666666667,489.312929717434
25,10,1,1,248856.8129465,0.2947,
26,10,2,2,12657.5418621787,0.31205,295.187755906838
27,10,3,2,21169.883223538,0.3291,445.288334827416
28,11,1,1,241230.5740663,0.331133333333,
29,11,2,2,21342.9063082394,0.348466666667,285.290893668157
30,11,3,2,32523.0548315428,0.3655,467.300457695588
31,12,1,1,246520.3865884,0.367533333333,
32,12,2,2,23867.9108897523,0.384883333333,124.086236858533
33,12,3,2,30088.6891127226,0.401916666667,489.313412476825
34,13,1,1,337908.8823239,0.40395,
35,13,2,2,22216.5469252995,0.42145,162.11204907338
36,13,3,2,20952.6214095677,0.4385,445.287253360729
37,14,1,1,435654.5890934,0.440516666667,
38,14,2,2,100582.7013892,0.458016666667,217.107321378309
39,14,3,2,75963.8425704573,0.47505,239.088814507986
40,15,1,1,526805.9515338,0.4771,
41,15,2,2,19328.6109693302,0.494583333333,173.080588839482
42,15,3,2,35087.4574129608,0.511616666667,455.189045228806
43,16,1,1,454523.7353431,0.51365,
44,16,2,2,46905.3174441454,0.5311,470.202408540766
45,16,3,2,39219.1056133269,0.54815,475.157481397638
46,17,1,1,2096499.85866,0.550183333333,
47,17,2,2,372110.7019665,0.567616666667,387.18053315767
48,17,3,2,380397.4810733,0.584666666667,432.238329488213
49,18,1,1,2850662.308984,0.586716666667,
50,18,2,2,135563.2896548,0.604083333333,409.162151209351
51,18,3,2,154553.9431206,0.621133333333,445.233328197895
52,19,1,1,832934.0369137,0.623183333333,
53,19,2,2,68165.8139340625,0.640533333333,225.196314161791
54,19,3,2,43099.6973621827,0.657583333333,425.136042120105
55,20,1,1,434984.5373553,0.659583333333,
56,20,2,2,30409.0302339315,0.677016666667,387.180216022587
57,20,3,2,27887.102429871,0.694066666667,432.2380005854
58,21,1,1,374635.8944623,0.696083333333,
59,21,2,2,58948.9242015084,0.713516666667,409.162158637867
60,21,3,2,36250.2400665198,0.730566666667,467.30045965658
61,22,1,1,348675.9944799,0.7326,
62,22,2,2,26670.5227026767,0.750016666667,379.150945122709
63,22,3,2,14227.1865527484,0.767066666667,425.136043455005
64,23,1,1,299276.7364679,0.7691,
65,23,2,2,23586.7052761604,0.786516666667,124.087212798806
66,23,3,2,10741.0695678616,0.803566666667,395.125139266092
67,24,1,1,278651.8918844,0.8056,
68,24,2,2,24065.5734044841,0.823016666667,285.289596065615
69,24,3,2,36218.389458008,0.840066666667,467.30061971091
70,25,1,1,264546.3587597,0.8421,
71,25,2,2,25110.6925057313,0.859516666667,445.287848085031
72,25,3,2,31212.505305226,0.87655,489.31410617115
73,26,1,1,272087.0483698,0.878583333333,
74,26,2,2,24494.9557327109,0.896,124.086463333889
75,26,3,2,14948.1590248256,0.91305,295.188143314893
76,27,1,1,262808.7859327,0.915066666667,
77,27,2,2,23991.0633398684,0.932466666667,285.289495769488
78,27,3,2,36217.4380603158,0.9495,467.299656962543
79,28,1,1,262654.225578,0.95155,
80,28,2,2,23733.8691456302,0.968966666667,445.287800683643
81,28,3,2,30332.3222957848,0.986,489.313224866812
82,29,1,1,271573.1085838,0.988033333333,
83,29,2,2,23126.5998154294,1.00545,124.086646235784
84,29,3,2,15158.7223671772,1.0225,295.187446718435
85,30,1,1,284470.6511287,1.024533333333,
86,30,2,2,24500.1141562781,1.041933333333,285.28906746098
87,30,3,2,34975.2993622795,1.058966666667,467.300385490832
88,31,1,1,314939.8962008,1.061,
89,31,2,2,20575.0378616229,1.0784,505.221249309287
90,31,3,2,26984.1959629929,1.09545,563.274926444755
91,32,1,1,321384.4296642,1.097483333333,
92,32,2,2,24167.6808515195,1.1149,124.086446550699
93,32,3,2,9358.0379813222,1.131933333333,550.279855694421
94,33,1,1,280122.2573542,1.133966666667,
95,33,2,2,25664.4198526564,1.151383333333,285.289610647107
96,33,3,2,35394.2651910844,1.168433333333,467.299952550683
97,34,1,1,282313.0032402,1.170466666667,
98,34,2,2,14936.4827049469,1.187866666667,295.187156832814
99,34,3,2,29897.3397566508,1.204916666667,489.313292126179
100,35,1,1,284753.5283874,1.20695,
101,35,2,2,24534.8441269364,1.224383333333,124.08661282454
102,35,3,2,24420.3180098338,1.241416666667,445.286477325302
103,36,1,1,335927.8935155,1.24345,
104,36,2,2,27648.2678805186,1.260883333333,424.341255814688
105,36,3,2,35532.8382657652,1.277933333333,467.299292564236
106,37,1,1,299155.7487465,1.279966666667,
107,37,2,2,25177.1025383222,1.2974,285.289731823026
108,37,3,2,30530.5209387016,1.31445,489.313633907697
109,38,1,1,277550.3866137,1.316483333333,
110,38,2,2,24031.8632820162,1.33395,124.086492411023
111,38,3,2,23316.3502709011,1.350983333333,224.127580709376
112,39,1,1,286461.013641,1.353016666667,
113,39,2,2,14601.3525878048,1.370433333333,295.186408040106
114,39,3,2,34831.1740890462,1.387466666667,467.300802161556
115,40,1,1,280873.4746301,1.389516666667,
116,40,2,2,25427.8359452592,1.406933333333,285.289506881576
117,40,3,2,30274.1331034095,1.423983333333,489.312518505701
118,41,1,1,273736.5957322,1.426016666667,
119,41,2,2,23001.6122482051,1.443416666667,124.086052190613
120,41,3,2,23820.3163014385,1.46045,224.127912956253
121,42,1,1,294392.3276259,1.462483333333,
122,42,2,2,15048.9005765274,1.479866666667,295.18702762572
123,42,3,2,35608.4828985248,1.496916666667,467.299541409653
124,43,1,1,506331.2624659,1.49895,
125,43,2,2,100881.2475121,1.51635,489.226794409838
126,43,3,2,60570.929488811,1.5334,547.28040940853
127,44,1,1,492659.2689135,1.535433333333,
128,44,2,2,132767.1522972,1.55285,522.354595504434
129,44,3,2,14100.3306975827,1.5699,534.284634262007
130,45,1,1,485712.2617054,1.571916666667,
131,45,2,2,34817.0104858856,1.589333333333,467.300806544671
132,45,3,2,26576.5823102871,1.606383333333,544.338114851644
133,46,1,1,349925.0370302,1.608416666667,
134,46,2,2,23790.3272054445,1.625833333333,124.086748839291
135,46,3,2,54808.1057788311,1.642866666667,480.3079125369
136,47,1,1,970767.0532588,1.644916666667,
137,47,2,2,475594.9826533,1.662333333333,426.35737106722
138,47,3,2,101361.0514416,1.679366666667,448.339741786984
139,48,1,1,6193673.787466,1.6814,
140,48,2,2,437954.423249,1.698766666667,522.355638533848
141,48,3,2,237702.3248224,1.7158,544.337402108733
142,49,1,1,2959775.368667,1.71785,
143,49,2,2,48709.3052950708,1.73515,428.361924866132
144,49,3,2,41581.1287481797,1.752183333333,524.360259205685
145,50,1,1,993544.8561544,1.754216666667,
146,50,2,2,82545.9109687998,1.77155,426.357886871901
147,50,3,2,177955.1285649,1.788583333333,480.308708313884
148,51,1,1,483418.6383896,1.790633333333,
149,51,2,2,19615.4558209098,1.808033333333,502.290511668335
150,51,3,2,18845.5521171589,1.825083333333,522.354946293078
151,52,1,1,327641.1185735,1.827116666667,
152,52,2,2,26719.787004118,1.84455,285.289303584256
153,52,3,2,29365.8157481885,1.861583333333,489.312398744317
154,53,1,1,330029.0304451,1.863633333333,
155,53,2,2,24611.8032248521,1.881066666667,124.086692889388
156,53,3,2,34570.8638218661,1.8981,467.2993318648
157,54,1,1,316362.6550639,1.90015,
158,54,2,2,15624.4564496878,1.917566666667,295.187141862961
159,54,3,2,23119.8381268642,1.934616666667,445.287938094852
160,55,1,1,333714.6510692,1.93665,
161,55,2,2,25417.6239201245,1.954083333333,285.289743203909
162,55,3,2,29292.8302029064,1.971133333333,489.31245533885
163,56,1,1,299866.2660802,1.973166666667,
164,56,2,2,24735.6073615843,1.9906,124.087056146107
165,56,3,2,33773.5358896701,2.007633333333,467.300553269643
166,57,1,1,293901.1717523,2.009666666667,
167,57,2,2,16338.4035384047,2.044033333333,295.186930753897
168,58,1,1,315765.9756744,2.046116666667,
169,58,2,2,26799.2350545588,2.06355,285.289692880521
170,58,3,2,29308.0336972245,2.080583333333,489.313293360342
171,59,1,1,332191.9415239,2.082616666667,
172,59,2,2,24804.5699444152,2.100066666667,124.086771008355
173,59,3,2,33935.3326688885,2.117116666667,467.300531583206
174,60,1,1,321211.119284,2.11915,
175,60,2,2,23285.2947659514,2.136583333333,445.287330917964
176,60,3,2,13755.5168633216,2.153616666667,457.157924676145
177,61,1,1,1496460.168688,2.15565,
178,61,2,2,347588.6633978,2.1731,344.315577227336
179,61,3,2,311368.3682604,2.19015,366.297573179685
180,62,1,1,2191691.942877,2.1922,
181,62,2,2,61432.1280413186,2.20955,326.305473740887
182,62,3,2,42113.2360617559,2.2266,382.271239184967
183,63,1,1,494344.6630649,2.228633333333,
184,63,2,2,26617.855726044,2.245966666667,285.289935667598
185,63,3,2,28750.6032024778,2.263,489.313288506126
186,64,1,1,356442.3376209,2.265033333333,
187,64,2,2,24402.7024435293,2.2825,124.086295250804
188,64,3,2,17440.0435738634,2.29955,366.297691054804
189,65,1,1,356772.8467499,2.301566666667,
190,65,2,2,16925.7187676184,2.319,457.158466447596
191,65,3,2,34199.6691751953,2.33605,467.300913902375
192,66,1,1,340972.6367633,2.3381,
193,66,2,2,26768.8674822975,2.355533333333,285.289459928615
194,66,3,2,30119.7607231243,2.372583333333,489.313260360051
195,67,1,1,363564.5692811,2.374616666667,
196,67,2,2,23865.7580486821,2.392083333333,124.086652440076
197,67,3,2,23407.8526336454,2.409116666667,445.287911962726
198,68,1,1,356394.4476282,2.41115,
199,68,2,2,33757.596238047,2.4286,467.300512745924
200,68,3,2,35107.6139307911,2.44565,582.340186447831
201,69,1,1,383312.6065383,2.447683333333,
202,69,2,2,26366.2639427519,2.46515,285.289541153451
203,69,3,2,29710.138923608,2.4822,489.313079709815
204,70,1,1,403689.3278698,2.484233333333,
205,70,2,2,25598.4160669152,2.501716666667,124.086303763157
206,70,3,2,34392.9668219685,2.51875,482.324020207568
207,71,1,1,359669.6839809,2.520783333333,
208,71,2,2,15267.9076099766,2.53825,295.187030733111
209,71,3,2,35209.182676453,2.555283333333,467.299337424559
210,72,1,1,352914.9305999,2.557333333333,
211,72,2,2,27994.7411484103,2.574783333333,285.289627821339
212,72,3,2,29349.5876453187,2.591816666667,489.313918841778
213,73,1,1,360529.4678849,2.593866666667,
214,73,2,2,25127.6707768411,2.611316666667,124.086535545276
215,73,3,2,30291.2741315778,2.628366666667,566.344876290479
216,74,1,1,389064.5021777,2.6304,
217,74,2,2,15714.132643025,2.64785,295.188111500056
218,74,3,2,33987.8413536586,2.6649,467.300211577891
219,75,1,1,421493.9381725,2.666933333333,
220,75,2,2,27338.1268144457,2.684416666667,285.289841528505
221,75,3,2,17523.8255387566,2.701466666667,457.159648572483
222,76,1,1,397348.7637816,2.7035,
223,76,2,2,29827.0803493516,2.720983333333,489.313301563914
224,76,3,2,25438.9443540582,2.738033333333,566.344484152036
225,77,1,1,444968.1710724,2.740066666667,
226,77,2,2,24641.4361477059,2.75755,124.086991550543
227,77,3,2,34301.7315784085,2.7746,467.300353193273
228,78,1,1,441844.3890119,2.776633333333,
229,78,2,2,28470.9006954971,2.79415,285.289458561303
230,78,3,2,17399.8496533217,2.811183333333,457.157751047004
231,79,1,1,454370.9267124,2.813216666667,
232,79,2,2,50035.5101776462,2.830733333333,379.281710942627
233,79,3,2,26815.0918022996,2.847783333333,489.313178563386
234,80,1,1,934819.0729864,2.849833333333,
235,80,2,2,42004.928554987,2.867383333333,339.28870622183
236,80,3,2,55700.9733088804,2.884433333333,357.299617880918
237,81,1,1,531258.9671428,2.886466666667,
238,81,2,2,25228.6367620603,2.904,124.086846992801
239,81,3,2,27574.2465318614,2.92105,285.289914685536
240,82,1,1,543502.7995675,2.923083333333,
241,82,2,2,28114.1487356754,2.940633333333,489.313684724333
242,82,3,2,52185.7063316747,2.957666666667,632.393405069715
243,83,1,1,563433.9691219,2.9597,
244,83,2,2,32912.3443112645,2.977266666667,467.300242272289
245,83,3,2,18128.1350542884,2.9943,646.40701855114
246,84,1,1,549151.4535244,2.996333333333,
247,84,2,2,24750.1287033977,3.013916666667,124.086543969148
248,84,3,2,30291.2514369221,3.03095,285.289870581733
249,85,1,1,598625.2627439,3.032983333333,
250,85,2,2,6323.79328961287,3.050583333333,59.059626430157
251,85,3,2,27677.9292006197,3.067616666667,489.313640853918
252,86,1,1,608722.1682832,3.06965,
253,86,2,2,19790.4120387178,3.08725,646.407742477422
254,86,3,2,10146.1128971635,3.104283333333,896.512902975677
255,87,1,1,608326.7645068,3.106316666667,
256,87,2,2,23429.018603729,3.123933333333,124.086818115793
257,87,3,2,31347.1366203657,3.140966666667,285.289548761303
258,88,1,1,598715.9655611,3.143,
259,88,2,2,5805.91032013379,3.1606,59.059964843448
260,88,3,2,27685.1239748583,3.17765,489.314166892495
261,89,1,1,624974.4433085,3.179683333333,
262,89,2,2,19861.9811151934,3.197266666667,279.093183000515
