Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
0,1,1,1,111380.5114042,0.001283333333,
1,2,1,1,259664.7661428,0.003333333333,
2,2,2,2,11108.2606575282,0.020683333333,285.289342612156
3,2,3,2,17676.5841580695,0.037733333333,467.299665279626
4,3,1,1,240666.3231397,0.039766666667,
5,3,2,2,16167.6408461896,0.057116666667,124.086560411074
6,3,3,2,17121.6047272848,0.07415,489.312882544852
7,4,1,1,242367.5488983,0.076183333333,
8,4,2,2,11604.6984554026,0.093516666667,295.187470565583
9,4,3,2,16467.9058208936,0.11055,445.288227302782
10,5,1,1,256330.8235134,0.112583333333,
11,5,2,2,19507.8640087123,0.129933333333,285.28914357684
12,5,3,2,26151.9221181818,0.146983333333,467.300820106755
13,6,1,1,248762.0622676,0.149016666667,
14,6,2,2,18220.5248076053,0.16635,124.086483164494
15,6,3,2,25522.0299944328,0.1834,489.313110412783
16,7,1,1,280003.652185,0.185433333333,
17,7,2,2,12477.3815135262,0.202766666667,295.187484014815
18,7,3,2,19581.9927855538,0.2198,445.287308621414
19,8,1,1,253707.2424371,0.22185,
20,8,2,2,20217.6531654003,0.2392,285.28959993107
21,8,3,2,31059.2076298074,0.256233333333,467.300599506764
22,9,1,1,247066.0802965,0.258266666667,
23,9,2,2,21125.8712855967,0.2756,124.086080566638
24,9,3,2,27364.4600243314,0.29265,489.312791238704
25,10,1,1,257286.7315931,0.294683333333,
26,10,2,2,14086.8326456059,0.312016666667,295.186553277818
27,10,3,2,21179.7052569909,0.329066666667,445.287455959434
28,11,1,1,246795.1874145,0.331116666667,
29,11,2,2,22940.5929932731,0.348466666667,285.28938527821
30,11,3,2,32482.3870861922,0.3655,467.300710280815
31,12,1,1,262112.6253083,0.36755,
32,12,2,2,21033.940370026,0.384883333333,124.08647187569
33,12,3,2,32458.413469817,0.401933333333,489.312894993621
34,13,1,1,333461.1562642,0.403966666667,
35,13,2,2,21723.6079886453,0.421466666667,162.112969419543
36,13,3,2,15956.8601834076,0.4385,464.283229864861
37,14,1,1,422248.1935878,0.440533333333,
38,14,2,2,102784.0228806,0.458016666667,217.106891754827
39,14,3,2,75888.6302459321,0.47505,239.088743072194
40,15,1,1,512445.9092304,0.4771,
41,15,2,2,19562.0752863285,0.494566666667,173.080869213424
42,15,3,2,33362.2049921375,0.5116,455.188514832481
43,16,1,1,442089.9614065,0.513633333333,
44,16,2,2,44745.4630754679,0.531083333333,470.20119680982
45,16,3,2,37460.1679814671,0.548133333333,475.157438184544
46,17,1,1,2132572.296724,0.550166666667,
47,17,2,2,382408.9626486,0.567616666667,387.180678356514
48,17,3,2,388331.2436785,0.584666666667,432.238286313917
49,18,1,1,3010956.01125,0.586716666667,
50,18,2,2,136580.0304934,0.604066666667,409.16201852492
51,18,3,2,157561.7119763,0.621116666667,445.233411328137
52,19,1,1,769688.7173157,0.62315,
53,19,2,2,68018.0512880498,0.640466666667,225.196532030399
54,19,3,2,42672.2581837035,0.657516666667,425.135498318532
55,20,1,1,423775.5323987,0.65955,
56,20,2,2,29878.7149460302,0.676983333333,387.180400848799
57,20,3,2,29932.7671221011,0.694016666667,432.238067806331
58,21,1,1,397447.9579512,0.696066666667,
59,21,2,2,58040.415940403,0.713483333333,409.161611521528
60,21,3,2,36800.4966800469,0.730533333333,467.300370353926
61,22,1,1,364393.7106427,0.732566666667,
62,22,2,2,27143.7326022604,0.75,379.151698560042
63,22,3,2,14483.0942275687,0.767033333333,425.136644595492
64,23,1,1,308672.2741908,0.769066666667,
65,23,2,2,24268.7515768841,0.786483333333,124.086758445852
66,23,3,2,31230.4808460963,0.803516666667,489.314093354038
67,24,1,1,285549.0844918,0.80555,
68,24,2,2,24412.8024968911,0.822966666667,285.289402754123
69,24,3,2,37398.3139482496,0.840016666667,467.300766692232
70,25,1,1,279857.7501651,0.842066666667,
71,25,2,2,14741.4057850296,0.859466666667,295.188038040136
72,25,3,2,24792.6440644163,0.876516666667,445.286737931646
73,26,1,1,274185.2896335,0.87855,
