Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
120,41,3,2,26413.8228278743,1.46055,445.286906527433
121,42,1,1,304162.1786009,1.462583333333,
122,42,2,2,16242.7623040002,1.48005,295.187376157804
123,42,3,2,40326.2077132157,1.497083333333,467.300189896257
124,43,1,1,505978.5284429,1.499133333333,
125,43,2,2,114058.5830751,1.51655,489.227163576614
126,43,3,2,74622.864578955,1.5336,547.280534065384
127,44,1,1,296157.0362441,1.535616666667,
128,44,2,2,60916.669405098,1.553033333333,522.35544023948
129,44,3,2,19180.3166088841,1.570066666667,534.285190097627
130,45,1,1,576329.095503,1.572116666667,
131,45,2,2,67679.7623617255,1.58955,544.336593192352
132,45,3,2,17391.8967393188,1.6066,612.323193516641
133,46,1,1,423430.4449959,1.608633333333,
134,46,2,2,38479.775111722,1.626066666667,467.299691778038
135,46,3,2,71930.9129857981,1.6431,480.307842730481
136,47,1,1,590317.8291479,1.645133333333,
137,47,2,2,376724.6149915,1.66255,426.357116658952
138,47,3,2,103066.2438248,1.6796,448.339502089145
139,48,1,1,5318806.407222,1.681633333333,
140,48,2,2,397266.5243197,1.699083333333,522.355024933055
141,48,3,2,243602.6405179,1.716133333333,544.337214196844
142,49,1,1,3499366.528342,1.718183333333,
143,49,2,2,52184.8626834062,1.735466666667,560.309941016629
144,49,3,2,48098.947415859,1.752516666667,612.322799986362
145,50,1,1,1014184.208634,1.75455,
146,50,2,2,108900.6265937,1.771866666667,426.357601519454
147,50,3,2,232313.2493337,1.788916666667,480.308356748704
148,51,1,1,545343.2353831,1.79095,
149,51,2,2,30679.7788097155,1.808383333333,502.290795230219
150,51,3,2,24520.1655709922,1.825433333333,522.354684705251
151,52,1,1,345269.5274192,1.827466666667,
152,52,2,2,27930.609278268,1.844883333333,285.290242522631
153,52,3,2,38986.7644099071,1.861933333333,467.299656835311
154,53,1,1,328765.391437,1.863966666667,
155,53,2,2,20178.6274807907,1.881416666667,426.356896619737
156,53,3,2,34623.6842791441,1.89845,489.313363843874
157,54,1,1,345598.3670438,1.900483333333,
158,54,2,2,6643.30686735656,1.917933333333,59.060119280628
159,54,3,2,25352.6440448498,1.934966666667,124.086477089626
160,55,1,1,332847.3512519,1.937,
161,55,2,2,28188.8736546678,1.954433333333,285.289348651263
162,55,3,2,40733.1039303117,1.971466666667,467.300535946169
163,56,1,1,324464.7480704,1.9735,
164,56,2,2,16567.3547141654,1.990933333333,295.187147420654
165,56,3,2,34304.6358512242,2.007983333333,489.313364457009
166,57,1,1,324202.3032623,2.010033333333,
167,57,2,2,5828.05613648254,2.02745,59.059842560293
168,57,3,2,26384.6697344815,2.0445,124.086576421967
169,58,1,1,322432.6609234,2.046533333333,
170,58,2,2,27710.0382503333,2.06395,285.289321912708
171,58,3,2,40773.51432119,2.081,467.299099590394
172,59,1,1,340078.6205288,2.083033333333,
173,59,2,2,26195.6858044233,2.1005,445.286289099804
174,59,3,2,35054.2953839815,2.117533333333,489.312798377025
175,60,1,1,335645.9218587,2.119566666667,
176,60,2,2,26916.7104146904,2.137033333333,124.086728305923
177,60,3,2,16228.3941152825,2.154083333333,295.187912172403
178,61,1,1,1053875.720451,2.156116666667,
179,61,2,2,288486.795862,2.17355,344.316083894364
180,61,3,2,316236.3594281,2.1906,366.297938814265
181,62,1,1,2613220.715009,2.19265,
182,62,2,2,73842.0689071217,2.210083333333,326.305302144571
183,62,3,2,29675.5821640313,2.227116666667,346.322020674891
184,63,1,1,763319.90936,2.22915,
185,63,2,2,35154.5496808474,2.246483333333,382.272337511251
186,63,3,2,39725.2268155462,2.263516666667,467.300882843603
187,64,1,1,359762.1790732,2.265566666667,
188,64,2,2,25804.335174921,2.283033333333,344.315131543588
189,64,3,2,21359.2608768374,2.300066666667,366.298032614437
190,65,1,1,364849.9701427,2.3021,
191,65,2,2,24964.4492924302,2.319533333333,124.086755976434
192,65,3,2,34037.8041236776,2.336583333333,489.312801125411
193,66,1,1,369097.5461081,2.338616666667,
194,66,2,2,29057.7155101659,2.3561,285.290070020017
195,66,3,2,39607.1059683638,2.373133333333,467.300711122998
196,67,1,1,365532.2649174,2.375166666667,
197,67,2,2,6257.00953394633,2.39265,59.060076752293
198,67,3,2,19827.8680612689,2.4097,457.157572583748
199,68,1,1,358716.0658638,2.411733333333,
200,68,2,2,27102.0040738225,2.4292,124.086461046795
201,68,3,2,34203.7200846883,2.44625,489.313583539314
202,69,1,1,379172.3425531,2.448266666667,
203,69,2,2,29387.6963758347,2.465733333333,285.289925674538
204,69,3,2,23254.7337712147,2.482783333333,582.3400724893
205,70,1,1,391695.1113013,2.484816666667,
206,70,2,2,39275.7809389755,2.502283333333,467.300019936483
207,70,3,2,45741.4344199987,2.519316666667,482.32381081882
208,71,1,1,385521.8824857,2.521366666667,
209,71,2,2,26808.2369313402,2.538833333333,124.086867214899
210,71,3,2,34849.8916290899,2.555866666667,489.314526885665
211,72,1,1,363301.2346982,2.557916666667,
212,72,2,2,29441.8925294213,2.575366666667,285.289834474892
213,72,3,2,16508.1232015429,2.5924,295.188122012785
214,73,1,1,379521.2699175,2.594433333333,
215,73,2,2,39885.3073445957,2.611883333333,467.300569614834
216,73,3,2,32533.9930069373,2.628933333333,566.344390512053
217,74,1,1,405308.9404059,2.630966666667,
218,74,2,2,27034.4456828868,2.64845,124.086201688261
219,74,3,2,34936.1566357587,2.6655,489.313074467174
220,75,1,1,417409.2199737,2.667566666667,
221,75,2,2,6380.81992179355,2.685066666667,59.060211407661
222,75,3,2,30312.6480665314,2.7021,285.289767687802
223,76,1,1,406639.4139648,2.704133333333,
224,76,2,2,39687.2463842471,2.721616666667,467.300019840256
225,76,3,2,30706.2245887868,2.738666666667,566.344775682449
226,77,1,1,440234.116228,2.740683333333,
227,77,2,2,26765.7890542015,2.758183333333,124.086373792594
228,77,3,2,24900.7487327275,2.775233333333,357.299514273487
229,78,1,1,477714.6878857,2.777266666667,
230,78,2,2,30234.7095692256,2.794933333333,285.289246368722
231,78,3,2,33201.4506053683,2.811983333333,489.312722432174
232,79,1,1,251721.0103186,2.814016666667,
233,79,2,2,796.267743787064,2.83155,59.060207854462
234,79,3,2,37149.6785550034,2.848583333333,467.300133380087
235,80,1,1,972294.9207749,2.850633333333,
236,80,2,2,118908.2193088,2.8682,357.2994917029
237,80,3,2,103059.3964174,2.885233333333,379.281565865455
238,81,1,1,579190.9037275,2.887266666667,
239,81,2,2,31333.7209512437,2.904816666667,285.289386076481
240,81,3,2,10137.4620934781,2.92185,339.287868859084
241,82,1,1,564945.8019678,2.923883333333,
242,82,2,2,17882.7497094957,2.94145,328.32060334427
243,82,3,2,37987.5278719138,2.9585,467.299720257864
244,83,1,1,583485.1981667,2.960533333333,
245,83,2,2,26031.9954683521,2.978116666667,124.086886500528
246,83,3,2,17895.7998870498,2.99515,632.391057569828
247,84,1,1,566668.1758872,2.997183333333,
248,84,2,2,31852.5999531735,3.014766666667,285.289334690235
249,84,3,2,32499.2451783933,3.031816666667,489.312457238585
250,85,1,1,603565.0692819,3.03385,
251,85,2,2,36154.6622248847,3.051433333333,467.299985740825
252,85,3,2,94017.3582881689,3.068466666667,646.406632657646
253,86,1,1,652775.9475316,3.070516666667,
254,86,2,2,27056.1699765153,3.088116666667,124.086636674547
255,86,3,2,12425.0242191863,3.105166666667,896.511898569722
256,87,1,1,619224.0125295,3.1072,
257,87,2,2,33828.812575406,3.124816666667,285.289409084367
258,87,3,2,31616.1161721682,3.14185,489.313503634754
259,88,1,1,643529.4709867,3.143883333333,
260,88,2,2,20148.1859237819,3.161483333333,279.092770142042
261,88,3,2,37849.5615341553,3.178533333333,467.299885565572
262,89,1,1,411863.3696968,3.180566666667,
263,89,2,2,4532.09245602423,3.1981,124.086317343043
264,89,3,2,12517.0691664594,3.21515,672.42297014735
265,90,1,1,673148.456113,3.217183333333,
266,90,2,2,32647.2275188181,3.2348,285.289487323697
267,90,3,2,42800.2819004543,3.25185,864.523778735185
268,91,1,1,669852.4814098,3.253866666667,
269,91,2,2,36981.7504137818,3.271533333333,467.30034967573
270,91,3,2,31263.9822755239,3.288583333333,489.313301754651
271,92,1,1,668992.834096,3.2906,
272,92,2,2,6567.06787475119,3.3082,59.060147227796
273,92,3,2,25953.4293817072,3.32525,124.08699389844
274,93,1,1,642164.522536,3.327283333333,
275,93,2,2,33502.721566814,3.344966666667,285.289443200424
276,93,3,2,7877.98758715625,3.362,773.439466764075
277,94,1,1,585445.9689226,3.36405,
278,94,2,2,21651.155648221,3.381616666667,279.092994275321
279,94,3,2,32173.7706229744,3.398666666667,489.314857946137
280,95,1,1,604585.4859268,3.4007,
281,95,2,2,27079.5639577452,3.418283333333,124.086472157748
282,95,3,2,37152.7664652367,3.435333333333,467.299292040667
283,96,1,1,582861.2623596,3.437366666667,
284,96,2,2,6643.74441995811,3.454966666667,59.060216236785
285,96,3,2,33662.301386291,3.472016666667,285.289539298063
286,97,1,1,605797.7005339,3.47405,
287,97,2,2,22179.8967190315,3.491633333333,279.09287942531
288,97,3,2,32390.1832762532,3.508683333333,489.313785674314
289,98,1,1,637723.1712941,3.510716666667,
290,98,2,2,36103.6284119065,3.528316666667,467.299879144771
291,98,3,2,21704.9961345383,3.54535,864.5225796282
292,99,1,1,624064.9119222,3.547383333333,
293,99,2,2,25827.0453731777,3.565116666667,124.086751541698
294,99,3,2,33511.491396461,3.58215,285.289580376026
295,100,1,1,586400.3634332,3.584216666667,
296,100,2,2,6460.19831134351,3.601833333333,59.059837207718
297,100,3,2,22036.4289456144,3.618883333333,279.092647855268
298,101,1,1,353709.3418567,3.6209,
299,101,2,2,7206.03600740378,3.638383333333,224.127175628068
300,101,3,2,37090.5132490097,3.655433333333,467.301063948018
301,102,1,1,627286.3646241,3.657466666667,
302,102,2,2,33528.0439994624,3.675166666667,285.289894633387
303,102,3,2,48292.1683714783,3.6922,338.340969955455
304,103,1,1,590016.2308075,3.69425,
